[INFO][17:38:03.599] M30 Device List Initialized. Total: 1
[INFO][17:38:03.600] M30 Manager Start. Devices: 1
[INFO][17:38:03.701] N_IN_1[192.168.172.190] 연결 유실, 재시도
[INFO][17:38:26.236] M30 Connected: N_IN_1[192.168.172.190]
[DEBUG][17:38:26.281] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:38:27.035] Brightness Set N_IN_1: 1
[DEBUG][17:39:11.122] Sent to N_IN_1: RST=1 USM=001
[DEBUG][17:39:11.173] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:11.475] Sent to N_IN_1: RST=1 USM=001
[DEBUG][17:39:11.526] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:11.828] Sent to N_IN_1: RST=1 USM=001
[DEBUG][17:39:11.879] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:12.181] Sent to N_IN_1: RST=1 USM=001
[DEBUG][17:39:12.231] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:12.484] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:12.636] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:12.838] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:13.040] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:13.241] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:13.443] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:13.645] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:13.848] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:13.001] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:14.202] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:14.405] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:14.606] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:14.809] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:15.011] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:15.213] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:15.416] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:15.618] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:15.820] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:16.021] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:16.223] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:16.426] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:16.627] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:16.829] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:17.032] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:17.236] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:17.437] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:17.642] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:17.843] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:18.048] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:18.249] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:18.401] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:18.602] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:19.005] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:19.511] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:20.015] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:20.517] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:21.021] Sent to N_IN_1: RST=1 USM=002
[DEBUG][17:39:21.122] Sent to N_IN_1: RST=1 USM=001
[DEBUG][17:39:21.173] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:21.475] Sent to N_IN_1: RST=1 USM=001
[DEBUG][17:39:21.526] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:21.828] Sent to N_IN_1: RST=1 USM=001
[DEBUG][17:39:21.879] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:22.181] Sent to N_IN_1: RST=1 USM=001
[DEBUG][17:39:22.232] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:22.535] Sent to N_IN_1: RST=1 USM=001
[DEBUG][17:39:22.586] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:39:22.888] Sent to N_IN_1: RST=1 USM=001
